@JustinTrudeau
@pmharper
@ElizabethMay
@DenisCoderre
@ThomasMulcair
@TonyclementCPC
@MarcGarneau
@Carolyn_Bennett
@brownbarrie
@RalphGoodale
@MichelleRempel
@JamesMoore_org
@nathancullen
@MPNinaGrewal
@PaulDewar
@scottbrison
@alexboulerice
@PeggyNashNDP
@lraitt
@nikiashton
@MinRonaAmbrose
@KirstyDuncanMP
@LibbyDavies
@HedyFry
@calxandr
@joeoliver
@MinTimUppal
@MPJulian
@joycemurray
@leonaaglukkaq
@JulianFantino
@PierrePoilievre
@LindaDuncanMP
@MikeLakeMP
@RE_Brosseau
@RomeoSaganash
@peterbraid
@RathikaS
@MPLaurieHawn
@YvonneJJones
@JimFlaherty
@WayneEaster
@geoffregan
@BradButtMP
@CharlieAngusMP
@RodgerCuzner
@DonDavies
@tedhsu
@BlakeRichardsMP
@Cash
@CraigScottNDP
@Crockatteer
@brentrathgeber
@cherylgallant
@kennedystewart
@FinDonnelly
@andrewscheer
@DanAlbas
@rodbruinooge
@christianparad
@RickDykstra
@PaulCalandra
@BalGosal
@Scott_Simms
@KentThornhillMP
@JackHarrisNDP
@nycole_turmel
@BrianMasseMP
@EdHolder_MP
@jamesbezan
@irenemathyssen
@ParmGill
@MaximeBernier
@MurrayRankin
@RobertNDP
@JamesRajotte
@jinnysims
@JohnMcKayLib
@MacKayCPC
@DavidSweetMP
@markstrahl
@chriswarkentin
@ColinCarrie
@MikeWallaceMP
@MPmarkwarawa
@MinStevenBlaney
@ScottAndrewsMP
@denisesavoie
@Gerry_Byrne
@PLDusseault
@danharrisndp
@JeanCrowder
@CPCGailShea
@blainecalkinsmp
@SusanTruppe
@Cathy_McLeod
@r_garrison
@darylkramp
@TedOpitz
@TedMenzies
@WoodworthMP
@laurinliu
@btrottier
@deepakobhrai
@Min_BValcourt
@JohnBCarmichael
@bobzimmermp
@WaiYoung
@ShellyGloverMIN
@RobMoore_CPC
@jimkarygiannis
@Armstrong_MP
@Lynne_Yelich
@jasbirsandhu
@hoangmai_npd
@bruce_stanton
@JohnRaffertyMP
@DeanAllisonMP
@MPJoySmith
@Malcolm_AllenMP
@MattDube
@BevShipleyMP
@GuyCaronNPD
@Phil
@Kevin_Lamoureux
@brucehyer
@MatthewKellway
@MarkEyking_MP
@jameslunneymp
@RobClarkeMP
@ScottReidCPC
@KyleSeeback
@MarjBoutinSweet
@LaVarMP
@MikeSullivanMP
@RonCannan
@MyleneFreeman
@GalipeauOrleans
@DavidMcGuinty
@fortjf
@CarolHughesMP
@joecomartin
@DavidAndersonSK
@GeraldKeddy
@RosaneDL
@AnneMTQuach
@pierrenantel
@Joe_Preston
@mpmikea
@drdanymorin
@TerenceYoungMP
@davidtilson
@BarryDevolin_MP
@NortheastShory
@HeleneLeBlanc
@IsabelleMorinMP
@rodneywestonsj
@earl_dreeshen
@PeterPenashue
@RobertAubinNPD
@CostasMenegakis
@ALatendresseNPD
@AnneMarieDay
@AndrewSaxton
@MPGregKerr
@JayAspin
@HiebertRuss
@cchisu
@tbenskin
@gordbrown
@sylvainchicoine
@JPNichollsNPD
@evepeclet
@RickNorlock
@MooreNpd
@AliceWongCanada
@AnnickPapillon
@F_Choquette
@ScarpaleggiaMP
@MC_Morin_NPD
@DenisBlanchette
@nwtdennis
@PeterGoldring
@mpcharmaineborg
@francoispilon
@DSellahNPD
@BradTrostCPC
@JacquesGourde
@paulinaayalaNPD
@claude_patry
@KeithAshfield
@KLDF
@GSchellenberger
@RandyHobackMP
@GenestJourdain
@PJacobNPD
@HLaverdiere
@WMarstonNDP
@RandyKampMP
@TarikBrahmi
@DionneLabelleMP
@CHoeppnerMP
@MarkAdlerMP
@RCoteBL
@BrianStorseth
@Elect_BrianJean
@PeterStofferMP
@stephanedion
@KellieLeitch
@F_Lapointe
@BryanHayesCPC
@StellaAmbler
@robertrgoguen
@electdavidwilks
@JudySgro
@BobDechert
@TomLukiwski
@jimhillyer
@Jonathan_tremb
@RobNicholsonCPC
@LaroseJF
@emichaudNPD
@clearyndp
@chrischarltonmp
@mpeveadams
@JohnBairdOWN
@JohnMcCallumMP
@JudyFoote
@kenneyjason
@PatMartinMP
@johnwestonmp
@RobMerrifieldMP
@stevenjfletcher
@mploisbrown
@mpdeandelmastro
@dianeablonczymp
@SanaNPD
@MPerreaultNPD
@KellyBlockcpc
@seancaseymp
@fboivinnpd
@Joyce_Bateman
@MeganLeslieMP
@HonEdFast
@RayBoughenMP
@Albrecht
@MountainManMP
@MathieuRavignat
@RichardIHosein
@JJLibertarian
@JohnDuncanMP
@RobertSopuck
@ClaudeGravelle
