Date, Total tweets, Retweets, Mentions, Direct
13:49:00 03 Apr 2015,1,1
20:29:00 02 May 2015,1,1
11:52:00 11 Mar 2015,1,1
07:23:00 05 May 2015,1,1
21:04:00 02 May 2015,1,1
06:00:00 05 May 2015,1
16:38:00 06 May 2015,1,1
13:51:00 08 Mar 2015,1
11:09:00 30 Mar 2015,1
07:36:00 24 Apr 2015,1,1
22:33:00 02 May 2015,1
20:59:00 01 Apr 2015,1,1
12:53:00 11 Apr 2015,1
19:50:00 06 Apr 2015,1,1
17:15:00 24 Apr 2015,1,1
08:53:00 13 Mar 2015,1,1
11:58:00 01 May 2015,1,1
23:27:00 05 May 2015,1,1
11:15:00 09 Apr 2015,1
15:39:00 10 Apr 2015,1,1
14:04:00 28 Mar 2015,1,1
21:54:00 01 May 2015,1,1
10:19:00 31 Mar 2015,1,1
09:06:00 08 Apr 2015,1,1
17:59:00 06 Apr 2015,1,1
15:45:00 29 Apr 2015,1,1
20:27:00 06 Apr 2015,1,1
16:46:00 16 Apr 2015,1,1
19:22:00 04 May 2015,1,1
17:43:00 30 Apr 2015,1,1
14:15:00 25 Apr 2015,1,1
20:18:00 06 May 2015,1,1
17:40:00 25 Mar 2015,1
18:22:00 16 Apr 2015,1,1
08:41:00 28 Mar 2015,1,1
22:14:00 21 Mar 2015,1
10:13:00 13 Apr 2015,1,1
05:52:00 01 May 2015,1,1
21:49:00 30 Mar 2015,1,1
22:33:00 04 Apr 2015,1,1
16:51:00 12 Apr 2015,1,1
17:48:00 15 Apr 2015,1
23:44:00 16 Apr 2015,1,1
07:30:00 02 May 2015,1,1
12:06:00 28 Mar 2015,1,1
22:37:00 02 Apr 2015,1,1
07:45:00 30 Apr 2015,1
11:08:00 22 Mar 2015,1,1
20:07:00 29 Mar 2015,1
22:11:00 02 May 2015,1,1
19:35:00 04 Mar 2015,1,1
00:49:00 04 Mar 2015,1,1
21:16:00 11 Mar 2015,1,1
21:28:00 26 Mar 2015,1,1
19:42:00 03 Apr 2015,1,1
16:01:00 13 Apr 2015,1,1
21:22:00 03 Mar 2015,1,1
10:00:00 29 Apr 2015,1,1
15:35:00 04 Apr 2015,1,1
22:46:00 29 Apr 2015,1,1
13:03:00 27 Mar 2015,1,1
15:15:00 10 Apr 2015,1,1
10:27:00 03 May 2015,1,1
13:59:00 02 May 2015,1,1
17:46:00 27 Apr 2015,1,1
09:27:00 26 Mar 2015,1
22:50:00 05 Mar 2015,1,1
16:30:00 28 Feb 2015,1,1
22:37:00 25 Feb 2015,1,1
08:00:00 28 Apr 2015,1,1
20:12:00 07 Mar 2015,1,1
21:23:00 19 Mar 2015,1,1
08:10:00 01 May 2015,1
18:15:00 07 May 2015,1,1
